group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,20594,-0.25989508628845215,0.6047247648239136,-5.2414960861206055,-0.12737242877483368,-0.055511631071567535,-0.03182056546211243,-0.000392871763324365
member,confidence,20594,0.903019368648529,0.11185212433338165,0.5000606775283813,0.8993530869483948,0.9477548003196716,0.9691420793533325,0.9996072053909302
member,neg_entropy,20594,-0.263675332069397,0.17429743707180023,-0.6931471824645996,-0.32650211453437805,-0.2050737887620926,-0.137711763381958,-0.00347329955548048
member,modified_entropy,20594,-0.33337879180908203,1.124175786972046,-10.427508354187012,-0.030466021969914436,-0.0059951432049274445,-0.0019932144787162542,-3.0865868438922917e-07
nonmember,neg_loss,20594,-0.2807858884334564,0.6561349630355835,-5.5279130935668945,-0.13237431645393372,-0.05685776472091675,-0.032484021037817,-4.8996218538377434e-05
nonmember,confidence,20594,0.9025670886039734,0.11179256439208984,0.5001027584075928,0.897674560546875,0.9473274946212769,0.96888667345047,0.9999510049819946
nonmember,neg_entropy,20594,-0.2648483216762543,0.1741049736738205,-0.6931471228599548,-0.3301626145839691,-0.20631037652492523,-0.13859117031097412,-0.0005353956366889179
nonmember,modified_entropy,20594,-0.37319207191467285,1.233712077140808,-11.01189136505127,-0.032825373113155365,-0.006285236217081547,-0.0020765133667737246,-4.803177855450258e-09
