group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,290506,-0.059952110052108765,0.07423017919063568,-0.597836971282959,-0.07796154171228409,-0.03045920841395855,-0.0100503358989954,0.0
member,confidence,290506,0.9442781805992126,0.0650293305516243,0.550000011920929,0.925000011920929,0.9700000286102295,0.9900000095367432,1.0
member,neg_entropy,290506,-0.1927969604730606,0.16959334909915924,-1.1615862846374512,-0.28537118434906006,-0.1482589989900589,-0.056001532822847366,-1.6578612094253486e-10
member,modified_entropy,290506,-0.0152420774102211,0.035611897706985474,-0.5380532741546631,-0.011694231070578098,-0.0018275524489581585,-0.00020100671099498868,-6.99982313612476e-24
nonmember,neg_loss,290506,-0.1997441202402115,0.31951600313186646,-27.63102149963379,-0.23572233319282532,-0.08883121609687805,-0.03045920841395855,0.0
nonmember,confidence,290506,0.8634487986564636,0.13628779351711273,0.25,0.7950000166893005,0.9150000214576721,0.9700000286102295,1.0
nonmember,neg_entropy,290506,-0.3582768738269806,0.2533745765686035,-1.5637898445129395,-0.5510799288749695,-0.3098781108856201,-0.1482589989900589,-1.6578612094253486e-10
nonmember,modified_entropy,290506,-0.14890949428081512,0.43118593096733093,-32.190189361572266,-0.08925741910934448,-0.013447893783450127,-0.0018275524489581585,-6.99982313612476e-24
