group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,24421,-0.3116132915019989,0.5266117453575134,-6.8549346923828125,-0.3786514401435852,-0.083274245262146,-0.012517821975052357,-2.220446049250313e-16
member,confidence,24421,0.8582471609115601,0.15086057782173157,0.5000799894332886,0.7483451962471008,0.9244955778121948,0.9876480102539062,1.0
member,neg_entropy,24421,-0.312094122171402,0.24727116525173187,-0.6931471824645996,-0.5641458630561829,-0.2676498591899872,-0.06654935330152512,-2.7631242779935228e-11
member,modified_entropy,24421,-0.36344239115715027,0.9063159227371216,-13.695416450500488,-0.23871377110481262,-0.013307427056133747,-0.00031143843079917133,-1.999933577551698e-24
nonmember,neg_loss,24421,-0.3228744566440582,0.5608670711517334,-14.032767295837402,-0.3925715684890747,-0.08811401575803757,-0.012861060909926891,-2.220446049250313e-16
nonmember,confidence,24421,0.8564236760139465,0.1507449746131897,0.5000988245010376,0.742885410785675,0.9213191270828247,0.9873135089874268,1.0
nonmember,neg_entropy,24421,-0.3156603276729584,0.24797514081001282,-0.6931471824645996,-0.5700171589851379,-0.2755356729030609,-0.06801031529903412,-2.7631242779935228e-11
nonmember,modified_entropy,24421,-0.38168081641197205,0.9845307469367981,-28.065513610839844,-0.2549218237400055,-0.014863693155348301,-0.0003286955470684916,-1.999933577551698e-24
