dataset,model,score_name,n_shadows,shadow_train_size,shadow_holdout_size,shadow_member_n,shadow_nonmember_n,shadow_member_neg_loss_mean,shadow_member_neg_loss_std,shadow_nonmember_neg_loss_mean,shadow_nonmember_neg_loss_std,min_std_used,npz_path,csv_path,audit_output_dir
credit_default,random_forest,shadow_lira_like_neg_loss,8,5000,5000,40000,40000,-0.11641879864234943,0.11838730584993191,-0.46500190603001973,0.9178157242396944,0.013543606635786938,analysis/results/q1_lira_like_appendix/score_arrays/credit_default_random_forest_shadow_lira_like_neg_loss.npz,analysis/results/q1_lira_like_appendix/score_arrays/credit_default_random_forest_shadow_lira_like_neg_loss.csv,analysis/results/q1_lira_like_appendix/audit_tool/credit_default_random_forest_shadow_lira_like_neg_loss
adult_income,random_forest,shadow_lira_like_neg_loss,8,8000,8000,64000,64000,-0.08449630309022906,0.11372156421224393,-0.36141198742245617,1.202057893263721,0.017298588559984823,analysis/results/q1_lira_like_appendix/score_arrays/adult_income_random_forest_shadow_lira_like_neg_loss.npz,analysis/results/q1_lira_like_appendix/score_arrays/adult_income_random_forest_shadow_lira_like_neg_loss.csv,analysis/results/q1_lira_like_appendix/audit_tool/adult_income_random_forest_shadow_lira_like_neg_loss
