dataset,model,attack_score,sample_size,repeat,metric,value,fp_budget
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,3,AUC,0.93136,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,3,TPR@1%FPR,0.412,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,3,membership_advantage@1%FPR,0.40199999999999997,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,3,TPR@0.1%FPR,0.364,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,3,membership_advantage@0.1%FPR,0.363,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,4,AUC,0.8521759999999999,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,4,TPR@1%FPR,0.192,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,4,membership_advantage@1%FPR,0.182,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,4,TPR@0.1%FPR,0.072,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,4,membership_advantage@0.1%FPR,0.071,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,4,AUC,0.9230239999999998,
credit_default,random_forest_reference_centered,ref_logit_margin,250,4,TPR@1%FPR,0.564,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,4,membership_advantage@1%FPR,0.5539999999999999,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,4,TPR@0.1%FPR,0.436,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,4,membership_advantage@0.1%FPR,0.435,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,4,AUC,0.913392,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,4,TPR@1%FPR,0.368,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,4,membership_advantage@1%FPR,0.358,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,4,TPR@0.1%FPR,0.132,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,4,membership_advantage@0.1%FPR,0.131,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,5,AUC,0.840656,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,5,TPR@1%FPR,0.176,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,5,membership_advantage@1%FPR,0.16599999999999998,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,5,TPR@0.1%FPR,0.096,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,5,membership_advantage@0.1%FPR,0.095,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,5,AUC,0.9190559999999999,
credit_default,random_forest_reference_centered,ref_logit_margin,250,5,TPR@1%FPR,0.532,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,5,membership_advantage@1%FPR,0.522,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,5,TPR@0.1%FPR,0.336,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,5,membership_advantage@0.1%FPR,0.335,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,5,AUC,0.917936,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,5,TPR@1%FPR,0.396,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,5,membership_advantage@1%FPR,0.386,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,5,TPR@0.1%FPR,0.088,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,5,membership_advantage@0.1%FPR,0.087,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,6,AUC,0.881904,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,6,TPR@1%FPR,0.18,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,6,membership_advantage@1%FPR,0.16999999999999998,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,6,TPR@0.1%FPR,0.108,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,6,membership_advantage@0.1%FPR,0.107,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,6,AUC,0.9378719999999999,
credit_default,random_forest_reference_centered,ref_logit_margin,250,6,TPR@1%FPR,0.216,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,6,membership_advantage@1%FPR,0.206,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,6,TPR@0.1%FPR,0.012,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,6,membership_advantage@0.1%FPR,0.011,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,6,AUC,0.932128,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,6,TPR@1%FPR,0.352,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,6,membership_advantage@1%FPR,0.34199999999999997,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,6,TPR@0.1%FPR,0.032,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,6,membership_advantage@0.1%FPR,0.031,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,7,AUC,0.87552,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,7,TPR@1%FPR,0.16,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,7,membership_advantage@1%FPR,0.15,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,7,TPR@0.1%FPR,0.0,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,7,membership_advantage@0.1%FPR,-0.001,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,7,AUC,0.9303839999999999,
credit_default,random_forest_reference_centered,ref_logit_margin,250,7,TPR@1%FPR,0.152,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,7,membership_advantage@1%FPR,0.142,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,7,TPR@0.1%FPR,0.008,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,7,membership_advantage@0.1%FPR,0.007,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,7,AUC,0.925392,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,7,TPR@1%FPR,0.12,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,7,membership_advantage@1%FPR,0.11,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,7,TPR@0.1%FPR,0.0,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,7,membership_advantage@0.1%FPR,-0.001,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,8,AUC,0.860576,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,8,TPR@1%FPR,0.156,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,8,membership_advantage@1%FPR,0.146,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,8,TPR@0.1%FPR,0.08,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,8,membership_advantage@0.1%FPR,0.079,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,8,AUC,0.9367519999999999,
credit_default,random_forest_reference_centered,ref_logit_margin,250,8,TPR@1%FPR,0.556,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,8,membership_advantage@1%FPR,0.546,2.5
credit_default,random_forest_reference_centered,ref_logit_margin,250,8,TPR@0.1%FPR,0.128,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,8,membership_advantage@0.1%FPR,0.127,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,8,AUC,0.9176639999999999,
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,8,TPR@1%FPR,0.232,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,8,membership_advantage@1%FPR,0.222,2.5
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,8,TPR@0.1%FPR,0.004,0.25
credit_default,random_forest_reference_centered,ref_z_logit_margin,250,8,membership_advantage@0.1%FPR,0.003,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,9,AUC,0.869104,
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,9,TPR@1%FPR,0.244,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,9,membership_advantage@1%FPR,0.23399999999999999,2.5
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,9,TPR@0.1%FPR,0.208,0.25
credit_default,random_forest_reference_centered,ref_centered_neg_loss,250,9,membership_advantage@0.1%FPR,0.207,0.25
credit_default,random_forest_reference_centered,ref_logit_margin,250,9,AUC,0.9388319999999999,
