group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,24421,-0.0801057517528534,0.11091599613428116,-0.7935201525688171,-0.11653381586074829,-0.025317808613181114,0.0,0.0
member,confidence,24421,0.9283774495124817,0.09405461698770523,0.5477499961853027,0.8899999856948853,0.9750000238418579,1.0,1.0
member,neg_entropy,24421,-0.19667959213256836,0.204036682844162,-0.6885800957679749,-0.34651532769203186,-0.11690685153007507,-2.7631020735330303e-11,-2.7631020735330303e-11
member,modified_entropy,24421,-0.03230255842208862,0.06759058684110641,-0.8693013191223145,-0.025637440383434296,-0.0012658904306590557,-1.999933577551698e-24,-1.999933577551698e-24
nonmember,neg_loss,24421,-0.3419097363948822,0.9073148369789124,-27.63102149963379,-0.3710636794567108,-0.08338160812854767,-0.005012542009353638,0.0
nonmember,confidence,24421,0.8650254011154175,0.14929838478565216,0.5,0.7649999856948853,0.9300000071525574,0.9950000047683716,1.0
nonmember,neg_entropy,24421,-0.2968009114265442,0.2522050738334656,-0.6931471824645996,-0.5452476739883423,-0.25363895297050476,-0.031479064375162125,-2.7631020735330303e-11
nonmember,modified_entropy,24421,-0.4337339997291565,1.7378333806991577,-55.26206588745117,-0.23005948960781097,-0.013341057114303112,-5.0125418056268245e-05,-1.999933577551698e-24
