dataset,model,train_accuracy,nonmember_accuracy,accuracy_gap,best_auc,best_auc_score,neg_loss_tpr_at_1pct_fpr,neg_loss_tpr_at_0_1pct_fpr
credit_default,logistic_regression,0.8100666666666667,0.8104666666666667,-0.00039999999999995595,0.4966907555555555,neg_loss,0.0088,0.0005333333333333
credit_default,hist_gradient_boosting,0.8322,0.8220666666666666,0.010133333333333439,0.5165283933333333,neg_loss,0.0096,0.0011333333333333
credit_default,random_forest,0.9994,0.8145333333333333,0.18486666666666662,0.7584220711111112,neg_loss,0.0487317829457364,0.0050697674418604
covertype,logistic_regression,0.724442868649873,0.7243981191438387,4.474950603428063e-05,0.5007097630501207,neg_entropy,0.009824237709376,0.000956950975195
covertype,hist_gradient_boosting,0.8430944627649687,0.8333975890343056,0.00969687373066308,0.5068155603841812,modified_entropy,0.0103924187452238,0.0009945652173913
covertype,random_forest,1.0,0.9449099158020833,0.05509008419791672,0.6996280525584669,neg_entropy,0.0314774615129028,0.0031477461512902
