group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,290506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
member,confidence,290506,1.0,0.0,1.0,1.0,1.0,1.0,1.0
member,neg_entropy,290506,-1.6578609318695925e-10,2.7755621937743216e-17,-1.6578612094253486e-10,-1.6578612094253486e-10,-1.6578612094253486e-10,-1.6578612094253486e-10,-1.6578612094253486e-10
member,modified_entropy,290506,-6.999823924985666e-24,0.0,-6.99982313612476e-24,-6.99982313612476e-24,-6.99982313612476e-24,-6.99982313612476e-24,-6.99982313612476e-24
nonmember,neg_loss,290506,-0.20393520593643188,0.35117852687835693,-27.63102149963379,-0.24846136569976807,-0.09431067854166031,-0.03045920841395855,0.0
nonmember,confidence,290506,0.8605059385299683,0.13783860206604004,0.27000001072883606,0.7850000262260437,0.9100000262260437,0.9700000286102295,1.0
nonmember,neg_entropy,290506,-0.35619962215423584,0.25355735421180725,-1.565003514289856,-0.5567750930786133,-0.3141230344772339,-0.13474217057228088,-1.6578612094253486e-10
nonmember,modified_entropy,290506,-0.15300120413303375,0.45912161469459534,-32.902870178222656,-0.10157214105129242,-0.015101306140422821,-0.0018275524489581585,-6.99982313612476e-24
