dataset,model,attack_score,target_fpr,threshold,empirical_fpr,tie_fraction,confidence,method,member_successes_effective,n_members,nonmember_false_positives_effective,n_nonmembers,metric,point,ci_lower,ci_upper,ci_width
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,0.01,-0.0100503358989954,0.01,0.13178294573643412,0.95,fixed_threshold_wilson,710.7906976744187,15000,150.0,15000,TPR@1%FPR,0.04738604651162791,0.0441003340420326,0.05090352600819017,0.006803191966157571
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,0.01,-0.0100503358989954,0.01,0.13178294573643412,0.95,fixed_threshold_wilson,710.7906976744187,15000,150.0,15000,membership_advantage@1%FPR,0.037386046511627906,0.034100334042032596,0.040903526008190166,0.006803191966157571
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,0.001,0.0,0.001,0.3333333333333333,0.95,fixed_threshold_wilson,72.0,15000,15.0,15000,TPR@0.1%FPR,0.0048,0.0038136256099938312,0.006039948171524551,0.00222632256153072
credit_default,random_forest_neg_loss_label_corruption_0p005,neg_loss,0.001,0.0,0.001,0.3333333333333333,0.95,fixed_threshold_wilson,72.0,15000,15.0,15000,membership_advantage@0.1%FPR,0.0037999999999999996,0.002813625609993831,0.005039948171524551,0.00222632256153072
