group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,24421,-5.6766486522974446e-05,0.006272633094340563,-0.6931471824645996,0.0,0.0,0.0,0.0
member,confidence,24421,0.9999590516090393,0.004524747375398874,0.5,1.0,1.0,1.0,1.0
member,neg_entropy,24421,-5.6766511988826096e-05,0.006272633094340563,-0.6931471824645996,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11
member,modified_entropy,24421,-5.6766486522974446e-05,0.006272633094340563,-0.6931471824645996,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24
nonmember,neg_loss,24421,-0.4605747163295746,1.7350376844406128,-27.63102149963379,-0.4079682528972626,-0.06187540292739868,0.0,0.0
nonmember,confidence,24421,0.8750835061073303,0.15021152794361115,0.5,0.7799999713897705,0.949999988079071,1.0,1.0
nonmember,neg_entropy,24421,-0.27158409357070923,0.2577163279056549,-0.6931471824645996,-0.5269079804420471,-0.19851523637771606,-2.7631020735330303e-11,-2.7631020735330303e-11
nonmember,modified_entropy,24421,-0.6849191188812256,3.438462734222412,-55.26206588745117,-0.2733387053012848,-0.007425048388540745,-1.999933577551698e-24,-1.999933577551698e-24
