dataset,model,attack_score,corruption_rate,repeat,metric,value,threshold,empirical_fpr,tie_fraction,n_members,n_nonmembers
credit_default,random_forest,neg_loss,0.0,8,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,8,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,8,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,9,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,9,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,9,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,9,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,9,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,10,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,10,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,10,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,10,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,10,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,11,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,11,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,11,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,11,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,11,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,12,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,12,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,12,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,12,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,12,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,13,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,13,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,13,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,13,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,13,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,14,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,14,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,14,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,14,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,14,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,15,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,15,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,15,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,15,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,15,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,16,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,16,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,16,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,16,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,16,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,17,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,17,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,17,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,17,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,17,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,18,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,18,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,18,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,18,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,18,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,19,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,19,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,19,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,19,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,19,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,20,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,20,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,20,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,20,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,20,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,21,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,21,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,21,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,21,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,21,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,22,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,22,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,22,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,22,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,22,membership_advantage@0.1%FPR,0.004069767441860465,0.0,0.001,0.3488372093023256,15000,15000
credit_default,random_forest,neg_loss,0.0,23,AUC,0.7584220711111112,,,,15000,15000
credit_default,random_forest,neg_loss,0.0,23,TPR@1%FPR,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,23,membership_advantage@1%FPR,0.03873178294573643,-0.0100503358989954,0.01,0.16279069767441862,15000,15000
credit_default,random_forest,neg_loss,0.0,23,TPR@0.1%FPR,0.005069767441860465,0.0,0.001,0.3488372093023256,15000,15000
