dataset,model,attack_score,sample_size,metric,n_repeats,mean,std,p025,median,p975,interval_width,min,max,instability_note
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,250,AUC,200,0.7517795599999999,0.0195293906021889,0.7135353999999999,0.7521599999999999,0.7870289999999999,0.07349359999999994,0.70268,0.8074000000000001,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,250,TPR@0.1%FPR,200,0.014055,0.017724705398478983,0.00032500000000000015,0.006,0.05461250000000002,0.05428750000000002,0.0,0.1385,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,250,TPR@1%FPR,200,0.05514917857142858,0.03281156774635474,0.011170000000000001,0.04716666666666667,0.13425000000000006,0.12308000000000006,0.0033333333333333335,0.167,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,250,membership_advantage@0.1%FPR,200,0.013054999999999999,0.017724705398478983,-0.0006749999999999999,0.005,0.05361250000000002,0.05428750000000002,-0.001,0.1375,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,250,membership_advantage@1%FPR,200,0.04514917857142857,0.03281156774635474,0.0011700000000000002,0.03716666666666667,0.12425000000000007,0.12308000000000006,-0.006666666666666666,0.157,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,500,AUC,200,0.7545394299999999,0.013632905653524104,0.7274112999999999,0.7552289999999999,0.7796733,0.05226200000000014,0.715624,0.786894,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,500,TPR@0.1%FPR,200,0.008583547619047619,0.008886929372420643,0.0011950000000000003,0.005,0.028,0.026805,0.0006666666666666666,0.06466666666666666,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,500,TPR@1%FPR,200,0.04915242857142857,0.01969081979235701,0.01794,0.048,0.09502500000000001,0.07708500000000001,0.008,0.118,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,500,membership_advantage@0.1%FPR,200,0.007583547619047619,0.008886929372420643,0.00019500000000000019,0.004,0.027,0.026805,-0.0003333333333333334,0.06366666666666666,severe_tail_resolution_warning: expected false positives < 1
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,500,membership_advantage@1%FPR,200,0.03915242857142857,0.01969081979235701,0.00794,0.038,0.08502500000000002,0.07708500000000001,-0.002,0.108,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,1000,AUC,200,0.7538499799999999,0.010459635795738654,0.7336315375,0.75380325,0.7765942000000001,0.04296266250000014,0.7278435,0.785512,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,1000,TPR@0.1%FPR,200,0.006954232142857143,0.00511461446480112,0.001624375,0.0052250000000000005,0.020025000000000005,0.018400625000000004,0.0006666666666666666,0.025500000000000002,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,1000,TPR@1%FPR,200,0.04815507668720168,0.012999146265693415,0.025955000000000002,0.04731428571428571,0.07283437500000002,0.046879375000000015,0.013111111111111112,0.09540000000000001,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,1000,membership_advantage@0.1%FPR,200,0.005954232142857143,0.00511461446480112,0.0006243749999999999,0.004225,0.019025000000000004,0.018400625000000004,-0.0003333333333333334,0.0245,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,1000,membership_advantage@1%FPR,200,0.03815507668720169,0.012999146265693415,0.015955,0.03731428571428571,0.06283437500000003,0.04687937500000003,0.0031111111111111114,0.08540000000000002,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,2500,AUC,200,0.7543004472000001,0.005975504918404929,0.7425941979999999,0.75454488,0.7659205099999999,0.023326312000000016,0.7419602399999999,0.7699687199999999,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,2500,TPR@0.1%FPR,200,0.005807541566766567,0.0023975799345953065,0.0024965909090909092,0.0054285714285714284,0.011518750000000005,0.009022159090909095,0.0021666666666666666,0.018213333333333335,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,2500,TPR@1%FPR,200,0.048289947610668245,0.007747576756686891,0.03474246376811594,0.04763636363636364,0.06539543529411765,0.03065297152600171,0.02698947368421053,0.07437894736842106,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,2500,membership_advantage@0.1%FPR,200,0.004807541566766566,0.0023975799345953065,0.0014965909090909092,0.004428571428571428,0.010518750000000004,0.009022159090909095,0.0011666666666666665,0.017213333333333334,tail_resolution_warning: expected false positives < 5
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,2500,membership_advantage@1%FPR,200,0.03828994761066824,0.007747576756686891,0.024742463768115938,0.037636363636363634,0.055395435294117654,0.030652971526001715,0.016989473684210527,0.06437894736842106,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,5000,AUC,200,0.7548841966,0.004352316762230249,0.7472197105,0.7545098699999999,0.7645608740000001,0.017341163500000034,0.74464208,0.7683273799999999,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,5000,TPR@0.1%FPR,200,0.00525304879436439,0.001309185998603431,0.003234674922600619,0.005076923076923077,0.008334375,0.005099700077399381,0.002423076923076923,0.010571428571428572,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,5000,TPR@1%FPR,200,0.04867266295791321,0.0050437268489042985,0.03859692307692307,0.04870491978609626,0.05832414634146341,0.019727223264540343,0.03764,0.06237674418604651,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,5000,membership_advantage@0.1%FPR,200,0.00425304879436439,0.001309185998603431,0.002234674922600619,0.004076923076923077,0.007334375,0.005099700077399381,0.0014230769230769232,0.009571428571428571,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,5000,membership_advantage@1%FPR,200,0.03867266295791321,0.0050437268489042985,0.028596923076923072,0.038704919786096255,0.04832414634146341,0.01972722326454034,0.027639999999999998,0.05237674418604651,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,10000,AUC,200,0.7544892081750001,0.0018951741112807035,0.75065491425,0.7545550475,0.758083686,0.007428771750000007,0.749234235,0.758668425,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,10000,TPR@0.1%FPR,200,0.005112005614779106,0.0006614472277005979,0.004058823529411765,0.005033908045977012,0.006500543478260869,0.0024417199488491045,0.003944444444444445,0.007142857142857143,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,10000,TPR@1%FPR,200,0.04797756170483626,0.00244581454654585,0.04270920895251903,0.047935151554742615,0.0526031026557712,0.009893893703252173,0.041864893617021275,0.05639390243902439,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,10000,membership_advantage@0.1%FPR,200,0.004112005614779106,0.0006614472277005979,0.003058823529411765,0.004033908045977011,0.005500543478260869,0.0024417199488491045,0.002944444444444445,0.006142857142857143,
credit_default,random_forest_neg_loss_label_corruption_0p010,neg_loss,10000,membership_advantage@1%FPR,200,0.03797756170483626,0.00244581454654585,0.032709208952519025,0.03793515155474261,0.0426031026557712,0.009893893703252173,0.03186489361702127,0.04639390243902439,
