group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,50883,-0.31119343638420105,0.5972303748130798,-3.477325677871704,-0.16435714066028595,-0.10567620396614075,-0.06684042513370514,-0.0027568668592721224
member,confidence,50883,0.888825535774231,0.06708648055791855,0.5002061724662781,0.8638156056404114,0.9031976461410522,0.936211109161377,0.9972469210624695
member,neg_entropy,50883,-0.3287513554096222,0.11865177750587463,-0.6931471228599548,-0.3979761302471161,-0.31799963116645813,-0.2372678816318512,-0.018978731706738472
member,modified_entropy,50883,-0.38995376229286194,1.094731330871582,-6.739822864532471,-0.04982028156518936,-0.02119528129696846,-0.00864320993423462,-1.5179695765255019e-05
nonmember,neg_loss,50883,-0.32861778140068054,0.6362029910087585,-3.53905987739563,-0.1698594093322754,-0.1072307676076889,-0.0672074556350708,-0.0028063757345080376
nonmember,confidence,50883,0.889106810092926,0.0662284716963768,0.5002622008323669,0.8633341193199158,0.903022289276123,0.9364144802093506,0.9971975684165955
nonmember,neg_entropy,50883,-0.328531950712204,0.11809252947568893,-0.6931470632553101,-0.39886459708213806,-0.3183911144733429,-0.23672136664390564,-0.019269201904535294
nonmember,modified_entropy,50883,-0.42483970522880554,1.1807001829147339,-6.8725666999816895,-0.05306970700621605,-0.021806804463267326,-0.008736805990338326,-1.5729408914921805e-05
