group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,20594,-0.06770133972167969,0.11977174878120422,-1.333566427230835,-0.06187540292739868,-0.02020270749926567,-0.005012542009353638,0.0
member,confidence,20594,0.9409953951835632,0.09417678415775299,0.500166654586792,0.9399999976158142,0.9800000190734863,0.9950000047683716,1.0
member,neg_entropy,20594,-0.16551083326339722,0.1868409514427185,-0.6931471228599548,-0.22696752846240997,-0.09803911298513412,-0.031479064375162125,-2.7631020735330303e-11
member,modified_entropy,20594,-0.030961062759160995,0.09452734142541885,-1.9642480611801147,-0.007425048388540745,-0.0008081083069555461,-5.0125418056268245e-05,-1.999933577551698e-24
nonmember,neg_loss,20594,-0.35275769233703613,1.5201103687286377,-27.63102149963379,-0.17435339093208313,-0.05129329487681389,-0.015113637782633305,0.0
nonmember,confidence,20594,0.9025776386260986,0.12241218239068985,0.5,0.8758333325386047,0.9549999833106995,0.9850000143051147,1.0
nonmember,neg_entropy,20594,-0.24715983867645264,0.2079336941242218,-0.6931471824645996,-0.3751453757286072,-0.18352113664150238,-0.07788250595331192,-2.7631020735330303e-11
nonmember,modified_entropy,20594,-0.5212627053260803,3.0168497562408447,-55.26206588745117,-0.05579308420419693,-0.005129329394549131,-0.00045340912765823305,-1.999933577551698e-24
