dataset,model,best_auc_score,best_auc,best_auc_ci_lower,best_auc_ci_upper,best_auc_ci_width,neg_loss_tpr_1pct,neg_loss_tpr_1pct_ci_lower,neg_loss_tpr_1pct_ci_upper,neg_loss_tpr_1pct_ci_width,neg_loss_tpr_0_1pct,neg_loss_tpr_0_1pct_ci_lower,neg_loss_tpr_0_1pct_ci_upper,neg_loss_tpr_0_1pct_ci_width,n_bootstrap,n_members,n_nonmembers
credit_default,logistic_regression,neg_loss,0.4966907555555555,0.4894958276666666,0.5038635769444444,0.0143677492777777,0.0088,0.0070666666666666,0.011335,0.0042683333333333,0.0005333333333333,6.666666666666667e-05,0.0012666666666666,0.0012,1000,15000,15000
credit_default,hist_gradient_boosting,neg_loss,0.5165283933333333,0.5095788479444444,0.5228640762777778,0.0132852283333333,0.0096,0.0072666666666666,0.0122016666666666,0.0049349999999999,0.0011333333333333,0.0004991666666666,0.002,0.0015008333333333,1000,15000,15000
credit_default,random_forest,modified_entropy,0.7584220711111112,0.7530117168888889,0.7638747643333333,0.0108630474444444,0.0487317829457364,0.0419734516141857,0.0556014122137404,0.0136279605995546,0.0050697674418604,0.0037357564016172,0.0074545454545454,0.0037187890529282,1000,15000,15000
credit_default,extra_trees,neg_loss,0.9976632533333334,0.9970252998333332,0.9982537697777778,0.0012284699444444,0.9988,0.9982666666666666,0.9993333333333332,0.0010666666666666,0.3654146341463414,0.2774444444444444,0.5166551724137931,0.2392107279693486,1000,15000,15000
credit_default,small_mlp,modified_entropy,0.5032664155555555,0.4965729475555555,0.5098564044444445,0.0132834568888889,0.0100666666666666,0.008,0.0120683333333333,0.0040683333333333,0.0006,0.0001333333333333,0.0016,0.0014666666666666,1000,15000,15000
covertype,logistic_regression,neg_entropy,0.5007097630501208,0.4992817344250331,0.5022710560703609,0.0029893216453277,0.009824237709376,0.0093732143225957,0.0103029713672006,0.0009297570446049,0.000956950975195,0.0007986065692274,0.0011221799205524,0.0003235733513249,1000,290506,290506
covertype,hist_gradient_boosting,modified_entropy,0.5068155603841811,0.5052463866423527,0.508282258306047,0.0030358716636943,0.0103924187452238,0.0098413681645129,0.0109567444390133,0.0011153762745003,0.0009945652173913,0.0008865806406974,0.0011235473888954,0.000236966748198,1000,290506,290506
covertype,random_forest,neg_entropy,0.699628052558467,0.698296426482249,0.7009670485480722,0.0026706220658232,0.0314774615129028,0.030778803247021,0.032281584492132,0.0015027812451109,0.0031477461512902,0.0030775382382837,0.003223204162782,0.0001456659244983,1000,290506,290506
covertype,extra_trees,confidence,0.9768765533242,0.9765013459274507,0.9772380776989116,0.0007367317714608,0.2162307406029028,0.2127154340260508,0.2198983041423916,0.0071828701163408,0.0216230740602902,0.0212871303480442,0.0219747768086187,0.0006876464605745,1000,290506,290506
covertype,small_mlp,neg_loss,0.502556175880257,0.5009978643382558,0.5039569452354858,0.00295908089723,0.0106712425905144,0.0101790403640544,0.0111668981019324,0.000987857737878,0.0011359773371104,0.0009855156677821,0.0013073518664538,0.0003218361986716,1000,290506,290506
adult_income,logistic_regression,neg_loss,0.5044702824897708,0.4995171277427706,0.5098510231241621,0.0103338953813915,0.009786659022972,0.0080258793661193,0.0110560583104704,0.0030301789443511,0.0014310347651611,0.0008127109693842,0.0020087088852831,0.0011959979158988,1000,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,0.5116927139047024,0.5066673357909272,0.5165668303107789,0.0098994945198517,0.0097241445204264,0.0077801891814422,0.0119657910541473,0.0041856018727051,0.0006551738258056,0.0002866385487899,0.0012693992874984,0.0009827607387084,1000,24421,24421
adult_income,random_forest,modified_entropy,0.6286392984362938,0.6235344821771001,0.6335443951529646,0.0100099129758645,0.0141473456121343,0.0136841367490323,0.0146217511478588,0.0009376143988264,0.0014147345612134,0.001365903271905,0.0014618357455379,9.593247363288526e-05,1000,24421,24421
