setting,dataset,model,n_repeats,auc_mean,auc_min,auc_max,tpr1_mean,tpr1_min,tpr1_max,tpr001_mean,tpr001_min,tpr001_max,accuracy_gap_mean,accuracy_gap_min,accuracy_gap_max
CD/RF,credit_default,random_forest,5,0.7593752435555555,0.7546684133333332,0.7625994111111111,0.057767454177840835,0.048731782945736435,0.06378759689922481,0.006294427626303127,0.005069767441860465,0.00684375,0.18393333333333334,0.1812666666666667,0.1879333333333334
CD/ET,credit_default,extra_trees,5,0.9976638782222222,0.9974308,0.9980182133333333,0.9990933333333333,0.9988,0.9993333333333333,0.31828165148634424,0.2457377049180328,0.3747,0.18960000000000005,0.1872666666666667,0.19380000000000008
Adult/RF,adult_income,random_forest,5,0.6249922717319559,0.6208803815787252,0.6286392984362937,0.014094048948159448,0.013674108074274983,0.014427141268075637,0.0014094048948159448,0.0013674108074274985,0.001442714126807564,0.14507186437901806,0.14336022275910076,0.14778264608328895
