dataset,model,attack_score,metric,n_repeats,mean,sd,min,max,range
adult_income,random_forest,neg_loss,AUC,5,0.6249922717319559,0.003468577581441309,0.6208803815787252,0.6286392984362937,0.007758916857568576
adult_income,random_forest,neg_loss,TPR@0.1%FPR,5,0.0014094048948159448,2.786507570185913e-05,0.0013674108074274985,0.001442714126807564,7.530331938006545e-05
adult_income,random_forest,neg_loss,TPR@1%FPR,5,0.014094048948159448,0.00027865075701859145,0.013674108074274983,0.014427141268075637,0.0007530331938006545
credit_default,extra_trees,neg_loss,AUC,5,0.9976638782222222,0.0002276669539741058,0.9974308,0.9980182133333333,0.000587413333333342
credit_default,extra_trees,neg_loss,TPR@0.1%FPR,5,0.31828165148634424,0.0528349254576042,0.2457377049180328,0.3747,0.1289622950819672
credit_default,extra_trees,neg_loss,TPR@1%FPR,5,0.9990933333333333,0.00021908902300204233,0.9988,0.9993333333333333,0.0005333333333332746
credit_default,random_forest,neg_loss,AUC,5,0.7593752435555555,0.003045964133349406,0.7546684133333332,0.7625994111111111,0.007930997777777837
credit_default,random_forest,neg_loss,TPR@0.1%FPR,5,0.006294427626303127,0.0007262250262493997,0.005069767441860465,0.00684375,0.001773982558139535
credit_default,random_forest,neg_loss,TPR@1%FPR,5,0.057767454177840835,0.006029867989410411,0.048731782945736435,0.06378759689922481,0.015055813953488373
