group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,50883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
member,confidence,50883,1.0,0.0,1.0,1.0,1.0,1.0,1.0
member,neg_entropy,50883,-2.76310137964364e-11,6.938961732717458e-18,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11
member,modified_entropy,50883,-1.9999331831212453e-24,0.0,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24
nonmember,neg_loss,50883,-0.338980108499527,0.7109320759773254,-27.63102149963379,-0.17435339093208313,-0.0998203381896019,-0.056570351123809814,0.0
nonmember,confidence,50883,0.894938588142395,0.0705137774348259,0.5,0.8600000143051147,0.9100000262260437,0.9449999928474426,1.0
nonmember,neg_entropy,50883,-0.31149590015411377,0.13480336964130402,-0.6931471824645996,-0.40496349334716797,-0.30253782868385315,-0.2129821926355362,-2.7631020735330303e-11
nonmember,modified_entropy,50883,-0.4574103057384491,1.3433560132980347,-55.26206588745117,-0.05579308420419693,-0.018965864554047585,-0.0062227388843894005,-1.999933577551698e-24
