dataset,model,score_source,attack_score,n_members,n_nonmembers,AUC,TPR@1%FPR,TPR@1%FPR_threshold,TPR@1%FPR_empirical_fpr,TPR@1%FPR_tie_fraction,TPR@0.1%FPR,TPR@0.1%FPR_threshold,TPR@0.1%FPR_empirical_fpr,TPR@0.1%FPR_tie_fraction
credit_default,random_forest,target_base_neg_loss,neg_loss,15000,15000,0.7584220711111112,0.048731782945736435,-0.0100503358989954,0.01,0.16279069767441862,0.005069767441860465,0.0,0.001,0.3488372093023256
credit_default,random_forest,bounded_shadow_lira_like,shadow_lira_like_neg_loss,15000,15000,0.6253733244444444,0.008922413793103448,2.1213722229003906,0.01,0.646551724137931,0.0008922413793103448,2.1213722229003906,0.001,0.06465517241379311
adult_income,random_forest,target_base_neg_loss,neg_loss,24421,24421,0.6286392984362937,0.014147345612134344,0.0,0.01,0.05291657638136511,0.0014147345612134344,0.0,0.001,0.0052916576381365115
adult_income,random_forest,bounded_shadow_lira_like,shadow_lira_like_neg_loss,24421,24421,0.6178463167233208,0.011992459935206172,2.384188175201416,0.01,0.0058737864077669745,0.0012343640019729359,2.384737968444824,0.001,0.10049794238683127
