dataset,attack_score,auc,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr
adult_income,modified_entropy,0.8696655061924982,0.0038376551940908,0.0383765519409083
adult_income,neg_loss,0.8696655061924982,0.0038376551940908,0.0383765519409083
adult_income,confidence,0.8679524347920607,0.0037882407694694,0.0378824076946943
adult_income,neg_entropy,0.8679524347920607,0.0037882407694694,0.0378824076946943
bank_marketing,modified_entropy,0.8806837586495497,0.0043701090442591,0.0437010904425914
bank_marketing,neg_loss,0.8806837586495497,0.0043701090442591,0.0437010904425914
bank_marketing,confidence,0.8730671959666884,0.0041207661290322,0.0412076612903225
bank_marketing,neg_entropy,0.8730671959666884,0.0041207661290322,0.0412076612903225
covertype,confidence,0.9768765533242,0.0216230740602902,0.2162307406029028
covertype,neg_entropy,0.9768765533242,0.0216230740602902,0.2162307406029028
covertype,neg_loss,0.9768765533242,0.0216230740602902,0.2162307406029028
covertype,modified_entropy,0.9768765533241998,0.0216230740602902,0.2162307406029028
credit_default,modified_entropy,0.9976632533333334,0.3654146341463414,0.9988
credit_default,neg_loss,0.9976632533333334,0.3654146341463414,0.9988
credit_default,confidence,0.9970697466666668,0.2881153846153846,0.9988
credit_default,neg_entropy,0.9970697466666668,0.2881153846153846,0.9988
diabetes_readmission,modified_entropy,0.9982017569718766,0.2780491803278688,1.0
diabetes_readmission,neg_loss,0.9982017569718766,0.2780491803278688,1.0
diabetes_readmission,confidence,0.9981821040426077,0.2750432432432432,1.0
diabetes_readmission,neg_entropy,0.9981821040426077,0.2750432432432432,1.0
