dataset,score,auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,n_member,n_nonmember,member_nonfinite,nonmember_nonfinite,combined_nonfinite,member_mean,nonmember_mean,mean_gap_member_minus_nonmember,member_std,nonmember_std,member_min,member_median,member_max,nonmember_min,nonmember_median,nonmember_max,member_unique_values,nonmember_unique_values,member_largest_tie_fraction,nonmember_largest_tie_fraction,member_at_member_max_fraction,nonmember_at_member_max_fraction
credit_default,neg_loss,0.9976632533333334,0.9988,0.3654146341463414,15000,15000,0,0,0,-0.0008317766478285193,-0.4724597632884979,0.47162798047065735,0.023996910080313683,0.9707647562026978,-0.6931471824645996,0.0,0.0,-27.63102149963379,-0.1923718899488449,0.0,2,256,0.9988,0.019466666666666667,0.9988,0.0027333333333333333
credit_default,confidence,0.9970697466666668,0.9988,0.2881153846153846,15000,15000,0,0,0,0.9994000196456909,0.8145566582679749,0.18484336137771606,0.017310112714767456,0.12823247909545898,0.5,1.0,1.0,0.5,0.8500000238418579,1.0,2,147,0.9988,0.021333333333333333,0.9988,0.0034666666666666665
credit_default,neg_entropy,0.9970697466666668,0.9988,0.2881153846153846,15000,15000,0,0,0,-0.0008317766478285193,-0.4249800443649292,0.4241482615470886,0.023996910080313683,0.17648249864578247,-0.6931471824645996,-2.7631020735330303e-11,-2.7631020735330303e-11,-0.6931471824645996,-0.42270907759666443,-2.7631020735330303e-11,2,147,0.9988,0.021333333333333333,0.9988,0.0034666666666666665
credit_default,modified_entropy,0.9976632533333334,0.9988,0.3654146341463414,15000,15000,0,0,0,-0.0008317766478285193,-0.5941367745399475,0.5933049917221069,0.023996910080313683,1.8855350017547607,-0.6931471824645996,-1.999933577551698e-24,-1.999933577551698e-24,-55.26206588745117,-0.06733015924692154,-1.999933577551698e-24,2,256,0.9988,0.019466666666666667,0.9988,0.0027333333333333333
covertype,neg_loss,0.9768765533242,0.2162307406029028,0.0216230740602902,290506,290506,0,0,0,0.0,-0.20393520593643188,0.20393520593643188,0.0,0.3511779308319092,0.0,0.0,0.0,-27.63102149963379,-0.09431067854166031,0.0,1,201,1.0,0.04624689335160031,1.0,0.04624689335160031
covertype,confidence,0.9768765533242,0.2162307406029028,0.0216230740602902,290506,290506,0,0,0,1.0,0.8605059385299683,0.13949406147003174,0.0,0.13783836364746094,1.0,1.0,1.0,0.27000001072883606,0.9100000262260437,1.0,1,145,1.0,0.04624689335160031,1.0,0.04624689335160031
covertype,neg_entropy,0.9768765533242,0.2162307406029028,0.0216230740602902,290506,290506,0,0,0,-1.6578609318695925e-10,-0.35619962215423584,0.35619962215423584,2.7755575615628914e-17,0.2535569369792938,-1.6578612094253486e-10,-1.6578612094253486e-10,-1.6578612094253486e-10,-1.565003514289856,-0.3141230344772339,-1.6578612094253486e-10,1,13718,1.0,0.04624689335160031,1.0,0.04624689335160031
covertype,modified_entropy,0.9768765533241998,0.2162307406029028,0.0216230740602902,290506,290506,0,0,0,-6.999823924985666e-24,-0.15300120413303375,0.15300120413303375,0.0,0.45912081003189087,-6.99982313612476e-24,-6.99982313612476e-24,-6.99982313612476e-24,-32.902870178222656,-0.015101306140422821,-6.99982313612476e-24,1,16320,1.0,0.04624689335160031,1.0,0.04624689335160031
adult_income,neg_loss,0.8696655061924982,0.0383765519409083,0.0038376551940908,24421,24421,0,0,0,-5.6766486522974446e-05,-0.4605747163295746,0.460517942905426,0.006272504571825266,1.7350021600723267,-0.6931471824645996,0.0,0.0,-27.63102149963379,-0.06187540292739868,0.0,2,209,0.9999181032717743,0.26055444085008805,0.9999181032717743,0.26055444085008805
adult_income,confidence,0.8679524347920607,0.0378824076946943,0.0037882407694694,24421,24421,0,0,0,0.9999590516090393,0.8750835061073303,0.12487554550170898,0.0045246547088027,0.15020844340324402,0.5,1.0,1.0,0.5,0.949999988079071,1.0,2,109,0.9999181032717743,0.2639531550714549,0.9999181032717743,0.2639531550714549
