group,score,n,mean,std,min,p25,median,p75,max
member,neg_loss,15000,-0.0008317766478285193,0.023997709155082703,-0.6931471824645996,0.0,0.0,0.0,0.0
member,confidence,15000,0.9994000196456909,0.017310690134763718,0.5,1.0,1.0,1.0,1.0
member,neg_entropy,15000,-0.0008317766478285193,0.023997709155082703,-0.6931471824645996,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11,-2.7631020735330303e-11
member,modified_entropy,15000,-0.0008317766478285193,0.023997709155082703,-0.6931471824645996,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24,-1.999933577551698e-24
nonmember,neg_loss,15000,-0.4724597632884979,0.9707971215248108,-27.63102149963379,-0.4942963123321533,-0.1923718899488449,-0.09431067854166031,0.0
nonmember,confidence,15000,0.8145566582679749,0.12823675572872162,0.5,0.7300000190734863,0.8500000238418579,0.9150000214576721,1.0
nonmember,neg_entropy,15000,-0.4249800443649292,0.17648838460445404,-0.6931471824645996,-0.583258867263794,-0.42270907759666443,-0.2908143997192383,-2.7631020735330303e-11
nonmember,modified_entropy,15000,-0.5941367745399475,1.885597825050354,-55.26206588745117,-0.3855511248111725,-0.06733015924692154,-0.016975922510027885,-1.999933577551698e-24
