dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
credit_default,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0050697674418604,0.0037357564016172,0.0074545454545454,0.0037187890529282,0.95,1000,20260905,15000,15000,0.0050697674418604,0.00364925,0.0068568014705882,0.0032075514705882,50,1.1593856207851436
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.9976632533333334,0.9970252998333332,0.9982537697777778,0.0012284699444444,0.95,1000,20261003,15000,15000,0.9976632533333334,0.9970954056666668,0.9982598071666666,0.0011644014999999,50,1.0550226399094345
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.9988,0.9982666666666666,0.9993333333333332,0.0010666666666666,0.95,1000,20261004,15000,15000,0.9988,0.9982816666666666,0.9992666666666666,0.000985,50,1.082910321488934
credit_default,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.3654146341463414,0.2774444444444444,0.5166551724137931,0.2392107279693486,0.95,1000,20261005,15000,15000,0.3654146341463414,0.289295984162896,0.5269721428571428,0.2376761586942468,50,1.0064565553546998
credit_default,small_mlp,modified_entropy,best_auc_score,AUC,0.5032664155555555,0.4965729475555555,0.5098564044444445,0.0132834568888889,0.95,1000,20261103,15000,15000,0.5032664155555555,0.4985139778333333,0.508607316,0.0100933381666666,50,1.3160618092394565
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.0100666666666666,0.0079333333333333,0.0119333333333333,0.004,0.95,1000,20261104,15000,15000,0.0100666666666666,0.008245,0.0120733333333333,0.0038283333333333,50,1.044841097083161
credit_default,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006,6.666666666666667e-05,0.0016016666666666,0.0015349999999999,0.95,1000,20261105,15000,15000,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,50,1.068445475638031
credit_default,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5032664133333333,0.4968799511666666,0.5093066842777778,0.0124267331111111,0.95,1000,20261203,15000,15000,0.5032664133333333,0.4985139742222221,0.5086073156666666,0.0100933414444444,50,1.2311812871396568
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0100666666666666,0.008,0.0120683333333333,0.0040683333333333,0.95,1000,20261204,15000,15000,0.0100666666666666,0.008245,0.0120733333333333,0.0038283333333333,50,1.0626904658249896
credit_default,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006,0.0001333333333333,0.0016,0.0014666666666666,0.95,1000,20261205,15000,15000,0.0006,0.0001333333333333,0.0015699999999999,0.0014366666666666,50,1.0208816705336436
