dataset,model,attack_score,score_role,metric,point,ci_lower,ci_upper,ci_width,confidence,n_bootstrap,random_state,n_members,n_nonmembers
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5067811146286483,0.505291136955615,0.5081887913343498,0.0028976543787347,0.95,1000,20261603,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0103924187452238,0.0098413681645129,0.0109567444390133,0.0011153762745003,0.95,1000,20261604,290506,290506
covertype,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0009945652173913,0.0008865806406974,0.0011235473888954,0.000236966748198,0.95,1000,20261605,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,AUC,0.699628052558467,0.698296426482249,0.7009670485480722,0.0026706220658232,0.95,1000,20261703,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@1%FPR,0.0314774615129028,0.0307943128840272,0.0322357461292492,0.001441433245222,0.95,1000,20261704,290506,290506
covertype,random_forest,neg_entropy,best_auc_score,TPR@0.1%FPR,0.0031477461512902,0.0030760833137677,0.0032267254367089,0.0001506421229411,0.95,1000,20261705,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,AUC,0.6995279023293506,0.6982580537545786,0.7009866142007208,0.0027285604461422,0.95,1000,20261803,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0314774615129028,0.030778803247021,0.032281584492132,0.0015027812451109,0.95,1000,20261804,290506,290506
covertype,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0031477461512902,0.0030775382382837,0.003223204162782,0.0001456659244983,0.95,1000,20261805,290506,290506
covertype,extra_trees,confidence,best_auc_score,AUC,0.9768765533242,0.9765013459274507,0.9772380776989116,0.0007367317714608,0.95,1000,20261903,290506,290506
covertype,extra_trees,confidence,best_auc_score,TPR@1%FPR,0.2162307406029028,0.2127302320334829,0.2196148692755097,0.0068846372420267,0.95,1000,20261904,290506,290506
covertype,extra_trees,confidence,best_auc_score,TPR@0.1%FPR,0.0216230740602902,0.021274658965324,0.0219666349218832,0.0006919759565592,0.95,1000,20261905,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,AUC,0.9768765533242,0.9765133508430118,0.9772416920820912,0.0007283412390793,0.95,1000,20262003,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@1%FPR,0.2162307406029028,0.2127154340260508,0.2198983041423916,0.0071828701163408,0.95,1000,20262004,290506,290506
covertype,extra_trees,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0216230740602902,0.0212871303480442,0.0219747768086187,0.0006876464605745,0.95,1000,20262005,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.502556175880257,0.5009978643382558,0.5039569452354858,0.00295908089723,0.95,1000,20262103,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0106712425905144,0.0101790403640544,0.0111668981019324,0.000987857737878,0.95,1000,20262104,290506,290506
covertype,small_mlp,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0011359773371104,0.0009855156677821,0.0013073518664538,0.0003218361986716,0.95,1000,20262105,290506,290506
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5044702824897708,0.4995171277427706,0.5098510231241621,0.0103338953813915,0.95,1000,20262203,24421,24421
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.009786659022972,0.0080258793661193,0.0110560583104704,0.0030301789443511,0.95,1000,20262204,24421,24421
adult_income,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0014310347651611,0.0008127109693842,0.0020087088852831,0.0011959979158988,0.95,1000,20262205,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,AUC,0.5116927139047024,0.5066673357909272,0.5165668303107789,0.0098994945198517,0.95,1000,20262303,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@1%FPR,0.0097241445204264,0.0078731559276479,0.0122026125056304,0.0043294565779824,0.95,1000,20262304,24421,24421
adult_income,hist_gradient_boosting,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0006551738258056,0.0003265632038,0.0013107017087167,0.0009841385049167,0.95,1000,20262305,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,AUC,0.5116927139047024,0.5059423143697481,0.5168318312516724,0.0108895168819243,0.95,1000,20262403,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0097241445204264,0.0077801891814422,0.0119657910541473,0.0041856018727051,0.95,1000,20262404,24421,24421
adult_income,hist_gradient_boosting,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0006551738258056,0.0002866385487899,0.0012693992874984,0.0009827607387084,0.95,1000,20262405,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,AUC,0.6286392984362938,0.6235344821771001,0.6335443951529646,0.0100099129758645,0.95,1000,20262503,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,TPR@1%FPR,0.0141473456121343,0.0136852673981592,0.0145926475208535,0.0009073801226943,0.95,1000,20262504,24421,24421
adult_income,random_forest,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0014147345612134,0.0013706929024283,0.0014617422126507,9.104931022238289e-05,0.95,1000,20262505,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,AUC,0.6286392984362938,0.6239330725867175,0.633157136345029,0.0092240637583115,0.95,1000,20262603,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0141473456121343,0.0136841367490323,0.0146217511478588,0.0009376143988264,0.95,1000,20262604,24421,24421
adult_income,random_forest,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0014147345612134,0.001365903271905,0.0014618357455379,9.593247363288526e-05,0.95,1000,20262605,24421,24421
adult_income,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.8696655061924982,0.8670447856329496,0.8723440955759668,0.0052993099430171,0.95,1000,20262703,24421,24421
